glottocode,Achievement: Avg,Competitiveness: Avg,Obedience: Avg,Slavery: type,(Semi)divine ruler
abip1241,5.0,3.75,2.5,4.0,0.0
abkh1244,6.0,4.0,8.5,4.0,NA
abui1241,3.25,4.0,4.0,2.0,NA
agus1235,NA,NA,NA,NA,0.0
ainu1240,6.5,6.0,8.0,1.0,NA
ajie1238,NA,NA,NA,1.0,NA
akab1249,NA,4.0,NA,1.0,0.0
akka1240,4.0,5.0,6.0,4.0,NA
alba1270,4.0,6.0,4.25,1.0,NA
amah1246,5.0,5.0,2.0,1.0,0.0
amha1245,2.0,NA,6.0,4.0,NA
anci1242,NA,NA,NA,NA,0.0
anci1244,NA,9.0,9.5,4.0,NA
aona1235,NA,NA,NA,NA,0.0
asan1239,NA,NA,6.5,2.0,1.0
atay1247,6.0,NA,6.0,2.0,0.0
bali1278,5.0,2.0,4.0,1.0,NA
bamb1269,3.5,5.0,5.0,4.0,NA
bana1287,5.0,4.0,5.0,1.0,NA
bank1259,NA,NA,NA,NA,1.0
bass1257,NA,NA,6.0,1.0,NA
bauu1243,6.5,6.5,4.0,1.0,NA
bell1243,5.0,5.0,5.0,4.0,NA
bhoj1244,3.0,5.25,5.75,1.0,NA
bila1255,6.0,2.0,4.0,1.0,NA
bili1260,3.0,6.0,6.5,4.0,NA
boro1274,3.5,5.5,4.25,NA,NA
boto1242,NA,NA,NA,NA,0.0
brib1243,5.0,3.0,NA,1.0,NA
buru1296,5.5,2.5,5.0,NA,NA
cane1242,7.25,5.0,5.0,1.0,NA
carn1240,5.0,2.0,5.0,1.0,NA
casi1235,NA,NA,NA,NA,0.0
cent1972,3.6666666666666665,5.0,NA,1.0,NA
cent2142,2.0,6.0,7.0,1.0,NA
chac1249,6.5,NA,6.0,1.0,0.0
chip1241,NA,NA,NA,NA,0.0
chip1261,NA,NA,NA,NA,0.0
chuk1273,5.5,4.5,5.5,2.0,NA
chuu1238,3.5,5.0,3.75,1.0,NA
clal1241,NA,NA,NA,NA,0.0
clas1250,7.0,5.0,10.0,2.0,NA
clas1258,NA,NA,NA,NA,1.0
coma1245,4.5,6.5,3.5,2.0,NA
copp1244,5.75,5.0,3.0,1.0,NA
cree1270,6.5,6.5,8.0,1.0,0.0
cube1242,3.25,NA,3.75,4.0,0.0
cusc1236,4.0,NA,10.0,1.0,NA
dege1248,5.5,6.0,4.0,1.0,NA
dhuw1249,NA,NA,NA,NA,0.0
east2379,3.0,NA,3.5,1.0,NA
east2447,NA,NA,NA,NA,1.0
east2533,4.0,NA,6.0,4.0,NA
east2545,2.5,5.0,6.0,1.0,NA
east2690,6.0,5.5,9.0,4.0,NA
egyp1246,NA,NA,NA,NA,1.0
egyp1253,3.0,7.5,7.5,3.0,NA
ekar1243,7.5,4.25,2.0,1.0,NA
eyak1241,6.0,5.0,9.0,2.0,NA
fonn1241,6.0,6.0,6.0,4.0,NA
furr1244,4.75,5.0,6.25,3.0,NA
gand1255,3.75,6.0,8.0,4.0,1.0
garo1247,2.0,3.0,6.0,3.0,NA
gheg1238,5.5,NA,9.0,1.0,NA
gily1242,6.5,3.0,5.75,1.0,NA
gros1243,5.5,6.0,6.5,1.0,NA
hadz1240,3.5,4.0,2.5,1.0,NA
hait1244,5.0,NA,8.0,4.0,NA
halh1238,6.0,2.0,7.5,4.0,NA
haus1257,3.5,3.0,3.5,3.0,NA
hava1249,3.0,5.0,5.0,1.0,0.0
hida1246,4.0,7.0,5.0,1.0,NA
high1276,NA,0.0,NA,1.0,NA
